admin,operator,customer
account,account,account
account_user_create,,
account_user_update,,
account_user_delete,,
account_user_detail,account_user_detail,
account_user_list,account_user_list,
account_status_list,,account_status_list
account_status_approved,,account_status_approved
profit_hierarchy,,profit_hierarchy
setting,,
setting_level_create,,
setting_level_list,,
setting_level_detail,,
setting_level_delete,,
setting_permission_create,,
setting_permission_list,,
setting_permission_detail,,
setting_permission_delete,,
setting_roletype_create,,
setting_roletype_list,,
setting_roletype_detail,,
setting_roletype_delete,,
setting_roletype_permission_view,,
setting_roletype_permission_set,,
account_customer_list,,account_customer_list
account_mpin_list,account_mpin_list,account_mpin_list
account_mpin_generate,account_mpin_generate,
